symbol,entry_date,entry_price,exit_date,exit_price,shares,reason
MOTILALOFS.NS,2023-11-13,1131.7305755615232,2023-11-20,1193.6551256103517,16,early
IOC.NS,2023-11-28,108.30819694519043,2023-12-04,115.78410152435303,295,target
ULTRACEMCO.NS,2023-11-30,9012.654041015625,2023-12-04,9308.43225,7,target
MAXHEALTH.NS,2023-12-01,653.0023255615233,2023-12-05,682.3669378051758,48,early
SHRIRAMFIN.NS,2023-12-04,419.3089046630859,2023-12-07,406.55303146362303,108,early
KEI.NS,2023-12-07,3035.2822499999997,2023-12-08,2963.6334975585937,8,early
ZYDUSLIFE.NS,2023-12-07,658.6079622192382,2023-12-08,637.9114378051758,80,stop
PATANJALI.NS,2023-12-05,1512.5109999999997,2023-12-12,1526.4220012207031,21,trail
ELGIEQUIP.NS,2023-12-11,550.3497877807616,2023-12-12,541.1583121948242,77,early
HCLTECH.NS,2023-12-08,1365.4640755615233,2023-12-14,1413.1853756103515,45,target
NMDC.NS,2023-12-13,63.94721463012694,2023-12-14,63.88605076217652,564,early
INDUSTOWER.NS,2023-12-14,201.25105305480955,2023-12-15,197.45234390258793,192,early
INDHOTEL.NS,2023-12-18,449.3488938903808,2023-12-19,444.1054378051758,116,early
GRAPHITE.NS,2023-12-15,543.5930377807616,2023-12-20,511.5379378051758,55,stop
GPIL.NS,2023-12-15,721.8711744384765,2023-12-20,683.1661256103515,43,stop
HDFCAMC.NS,2023-12-19,3125.172098876953,2023-12-20,3113.4834975585936,15,early
PPLPHARMA.NS,2023-12-22,140.64049999999997,2023-12-26,138.46140609741212,183,early
GAIL.NS,2023-12-22,151.65149999999997,2023-12-27,151.6981560974121,182,early
TATAMOTORS.NS,2023-12-27,741.6409244384765,2023-12-29,779.1700621948243,70,target
SUNTV.NS,2023-12-22,726.2755377807616,2024-01-02,706.293,47,early
MOTHERSON.NS,2023-12-29,68.03463384246825,2024-01-03,67.86540101623535,509,early
COCHINSHIP.NS,2023-12-26,687.93725,2024-01-08,646.1781871948242,31,early
BAYERCROP.NS,2024-01-09,5843.3375,2024-01-11,5844.949004882813,6,early
SUNPHARMA.NS,2024-01-02,1297.4961511230467,2024-01-16,1312.1365012207032,45,early
NBCC.NS,2024-01-03,58.72533078765869,2024-01-17,58.574697967529296,371,early
JKTYRE.NS,2024-01-18,428.42799999999994,2024-01-23,471.9275939025879,74,target
BAJAJHLDNG.NS,2024-01-19,8481.272604492187,2024-01-23,8114.077995117187,4,stop
PNB.NS,2024-01-19,102.30219694519043,2024-01-23,98.65125,357,early
MOTHERSON.NS,2024-01-25,77.01026768493651,2024-01-30,76.09049745941162,396,early
COALINDIA.NS,2024-01-29,413.21278778076174,2024-01-30,402.14743780517585,83,early
VOLTAS.NS,2024-01-31,1093.8427499999998,2024-02-01,1047.70125,24,early
INDHOTEL.NS,2024-01-29,496.6461438903808,2024-02-02,499.5,68,early
GPPL.NS,2024-01-31,176.3761969451904,2024-02-06,182.06775,137,early
CANBK.NS,2024-02-01,100.40030305480954,2024-02-07,110.31957030487061,327,target
GLAND.NS,2024-02-06,2142.5403022460937,2024-02-07,2041.8561243896484,13,early
NIACL.NS,2024-02-05,265.9156438903808,2024-02-08,304.0955939025879,67,target
ACC.NS,2024-02-09,2630.678098876953,2024-02-19,2667.8295,10,early
ASTERDM.NS,2024-02-15,474.12364389038083,2024-02-23,464.58493780517585,64,early
NCC.NS,2024-02-22,243.29305305480955,2024-02-28,248.05170304870606,91,early
ACE.NS,2024-02-27,1245.9446511230467,2024-03-01,1417.0815,16,target
ZENTEC.NS,2024-03-01,910.0090755615234,2024-03-05,932.8661878051757,28,early
PIDILITIND.NS,2024-03-06,2834.381598876953,2024-03-07,2862.984247558594,18,early
VOLTAS.NS,2024-04-01,1152.7515755615234,2024-04-05,1231.0677487792968,27,target
PNB.NS,2024-04-03,135.28514389038085,2024-04-08,132.7670939025879,214,early
POWERINDIA.NS,2024-04-08,7548.190552246093,2024-04-10,7485.606997558593,3,early
BEL.NS,2024-04-02,221.22099999999998,2024-04-15,234.21554695129396,109,early
ANANDRATHI.NS,2024-04-15,2095.2430522460936,2024-04-19,2083.5144975585936,9,early
GRSE.NS,2024-04-23,958.9579999999999,2024-04-26,997.8511256103517,22,early
ABCAPITAL.NS,2024-04-23,217.0668561096191,2024-04-29,240.40934390258792,115,target
FINPIPE.NS,2024-04-24,274.3741061096191,2024-04-30,266.1835621948242,93,early
M&M.NS,2024-04-30,2158.506447753906,2024-05-07,2189.3085,16,early
BRIGADE.NS,2024-05-06,1111.160098876953,2024-05-09,1051.1477512207032,22,early
GODREJAGRO.NS,2024-05-08,585.9353255615234,2024-05-09,554.3451243896484,50,stop
COALINDIA.NS,2024-05-21,491.14064389038083,2024-05-27,493.95556219482427,57,early
BRIGADE.NS,2024-05-17,1191.6404011230468,2024-05-28,1224.074748779297,17,early
SAREGAMA.NS,2024-05-23,466.8163561096191,2024-05-30,506.6428439025879,55,target
GLENMARK.NS,2024-05-27,1120.5694011230466,2024-06-04,1121.2276256103517,28,trail
COROMANDEL.NS,2024-05-28,1292.3910755615234,2024-06-04,1303.695,32,early
ABFRL.NS,2024-06-06,322.52221221923827,2024-06-13,326.5730939025879,52,early
EXIDEIND.NS,2024-06-06,528.3778255615234,2024-06-13,541.7576878051758,35,early
ABB.NS,2024-06-14,9029.019999999999,2024-06-18,8858.133,2,early
GILLETTE.NS,2024-06-05,7497.990499999999,2024-06-19,7543.598752441406,4,early
KEC.NS,2024-06-13,869.4685755615234,2024-06-19,892.0071243896484,25,early
GMRAIRPORT.NS,2024-06-18,97.9378363342285,2024-06-25,94.97492969512939,186,early
MINDACORP.NS,2024-06-24,493.1927122192383,2024-06-27,486.31318780517586,48,early
LTF.NS,2024-07-01,190.2901061096191,2024-07-02,187.0427657318115,151,early
AUROPHARMA.NS,2024-07-05,1304.853598876953,2024-07-11,1316.5821243896485,30,early
HSCL.NS,2024-07-09,426.07564389038083,2024-07-11,427.97159390258787,65,early
SBILIFE.NS,2024-07-10,1560.358848876953,2024-07-16,1619.7286256103516,32,target
SUNTV.NS,2024-07-11,812.56175,2024-07-16,805.9931878051758,44,early
