buf,trail,atrp,cagr,maxdd
0.3,1.2,0.06,1.06,-1.12
0.3,1.2,0.08,1.11,-0.98
0.3,1.2,0.1,1.11,-0.98
0.3,1.4,0.06,1.34,-0.97
0.3,1.4,0.08,1.54,-0.65
0.3,1.4,0.1,1.54,-0.65
0.3,1.6,0.06,1.20,-0.99
0.3,1.6,0.08,1.53,-0.65
0.3,1.6,0.1,1.53,-0.65
