buf,trail,atrp,CAGR,MaxDD,MAR
0.3,0.9,0.06,1.37,-0.78,1.756
0.3,1.3,0.06,1.37,-0.78,1.756
0.3,1.8,0.06,1.37,-0.78,1.756
