buf,trail,CAGR,MaxDD
0.20,1,1.30,-0.76
0.20,1.1,1.97,-0.76
0.20,1.2,1.80,-0.97
0.20,1.3,2.09,-0.97
0.20,1.4,2.33,-0.88
0.20,1.5,2.53,-0.87
0.20,1.6,2.49,-0.87
