Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00+05:30,135.0,138.89999389648438,134.64999389648438,138.60000610351562,134.6090087890625,1503638,0.0,0.0
2022-01-04 00:00:00+05:30,138.60000610351562,142.39999389648438,138.25,141.9499969482422,137.86253356933594,2576588,0.0,0.0
2022-01-05 00:00:00+05:30,142.39999389648438,146.5500030517578,140.3000030517578,144.3000030517578,140.14486694335938,4468337,0.0,0.0
2022-01-06 00:00:00+05:30,144.0,144.0,139.5,140.0,135.9686737060547,4416454,0.0,0.0
2022-01-07 00:00:00+05:30,139.5,142.10000610351562,138.6999969482422,139.39999389648438,135.38595581054688,6258154,0.0,0.0
2022-01-10 00:00:00+05:30,141.0,146.89999389648438,139.64999389648438,146.0,141.79591369628906,4504051,0.0,0.0
2022-01-11 00:00:00+05:30,146.89999389648438,146.89999389648438,143.35000610351562,144.35000610351562,140.1934356689453,1159834,0.0,0.0
2022-01-12 00:00:00+05:30,145.0,146.25,144.5,145.64999389648438,141.45599365234375,957090,0.0,0.0
2022-01-13 00:00:00+05:30,146.0,150.5500030517578,144.25,149.6999969482422,145.38938903808594,3463630,0.0,0.0
2022-01-14 00:00:00+05:30,148.0,149.25,146.1999969482422,146.89999389648438,142.6699981689453,939320,0.0,0.0
2022-01-17 00:00:00+05:30,147.0500030517578,149.6999969482422,145.14999389648438,146.10000610351562,141.89305114746094,2194557,0.0,0.0
2022-01-18 00:00:00+05:30,146.25,147.0,143.0,143.64999389648438,139.5135955810547,1474684,0.0,0.0
2022-01-19 00:00:00+05:30,144.0,144.3000030517578,142.5,143.9499969482422,139.80494689941406,756287,0.0,0.0
2022-01-20 00:00:00+05:30,144.0,145.5,143.4499969482422,144.0500030517578,139.90206909179688,978720,0.0,0.0
2022-01-21 00:00:00+05:30,142.89999389648438,143.6999969482422,139.1999969482422,140.9499969482422,136.89132690429688,1257405,0.0,0.0
2022-01-24 00:00:00+05:30,141.8000030517578,142.0,136.8000030517578,138.6999969482422,134.7061309814453,1402427,0.0,0.0
2022-01-25 00:00:00+05:30,137.0,144.1999969482422,136.9499969482422,142.89999389648438,138.78517150878906,1285754,0.0,0.0
