symbol,mode,ok,bb_width_pctile,atr_pctile,breakout_hh20,breakout_hh50
360ONE.NS,loose,True,0.18253968253968253,0.051587301587301584,False,False
3MINDIA.NS,loose,True,0.05952380952380952,0.1865079365079365,False,False
ABB.NS,loose,True,0.015873015873015872,0.03571428571428571,False,False
ACC.NS,loose,True,0.0873015873015873,0.007936507936507936,False,False
ACMESOLAR.NS,loose,True,0.1945945945945946,0.743455497382199,False,False
AIAENG.NS,loose,True,0.09523809523809523,0.003968253968253968,False,False
APLAPOLLO.NS,loose,True,0.0992063492063492,0.03968253968253968,True,False
AUBANK.NS,loose,True,0.42063492063492064,0.13095238095238096,False,False
AWL.NS,loose,True,0.1626984126984127,0.10714285714285714,False,False
AADHARHFC.NS,loose,True,0.08333333333333333,0.18253968253968253,False,False
AARTIIND.NS,loose,True,0.047619047619047616,0.015873015873015872,False,False
AAVAS.NS,loose,False,0.753968253968254,0.3531746031746032,False,False
ABBOTINDIA.NS,loose,False,0.40476190476190477,0.6071428571428571,False,False
ACE.NS,loose,True,0.7222222222222222,0.23809523809523808,False,False
ADANIENSOL.NS,loose,True,0.31746031746031744,0.003968253968253968,False,False
ADANIENT.NS,loose,True,0.14285714285714285,0.03571428571428571,False,False
ADANIGREEN.NS,loose,True,0.023809523809523808,0.003968253968253968,False,False
ADANIPORTS.NS,loose,True,0.07142857142857142,0.027777777777777776,False,False
ADANIPOWER.NS,loose,True,0.0873015873015873,0.08333333333333333,True,True
ATGL.NS,loose,True,0.27380952380952384,0.031746031746031744,False,False
ABCAPITAL.NS,loose,True,0.13095238095238096,0.6349206349206349,False,False
ABFRL.NS,loose,True,0.8650793650793651,0.25,True,True
ABREL.NS,loose,True,0.003968253968253968,0.003968253968253968,False,False
ABSLAMC.NS,loose,True,0.28174603174603174,0.04365079365079365,False,False
AEGISLOG.NS,loose,True,0.19047619047619047,0.13095238095238096,False,False
AFCONS.NS,loose,True,0.020833333333333332,0.1111111111111111,False,False
AFFLE.NS,loose,True,0.05555555555555555,0.003968253968253968,False,False
AJANTPHARM.NS,loose,True,0.49206349206349204,0.01984126984126984,False,False
AKUMS.NS,loose,True,0.04,0.01984126984126984,False,False
APLLTD.NS,loose,True,0.03968253968253968,0.003968253968253968,False,False
ALIVUS.NS,loose,True,0.11805555555555555,0.006666666666666667,False,False
ALKEM.NS,loose,True,0.5198412698412699,0.031746031746031744,False,False
ALKYLAMINE.NS,loose,True,0.015873015873015872,0.13095238095238096,False,False
ALOKINDS.NS,loose,True,0.011904761904761904,0.12301587301587301,False,False
ARE&M.NS,loose,True,0.4365079365079365,0.2619047619047619,True,True
AMBER.NS,loose,True,0.32142857142857145,0.11904761904761904,False,False
AMBUJACEM.NS,loose,True,0.16666666666666666,0.04365079365079365,False,False
ANANDRATHI.NS,loose,False,0.40476190476190477,0.4007936507936508,False,False
ANANTRAJ.NS,loose,True,0.007936507936507936,0.03571428571428571,False,False
ANGELONE.NS,loose,True,0.7341269841269841,0.04563492063492063,False,False
APARINDS.NS,loose,True,0.38492063492063494,0.007936507936507936,False,False
APOLLOHOSP.NS,loose,True,0.5833333333333334,0.03968253968253968,False,False
APOLLOTYRE.NS,loose,True,0.6587301587301587,0.23809523809523808,False,False
APTUS.NS,loose,False,0.7023809523809523,0.4166666666666667,False,False
ASAHIINDIA.NS,loose,False,0.3373015873015873,0.44047619047619047,False,False
ASHOKLEY.NS,loose,True,0.8134920634920635,0.7380952380952381,True,True
ASIANPAINT.NS,loose,True,0.09126984126984126,0.23412698412698413,False,False
ASTERDM.NS,loose,False,0.373015873015873,0.7222222222222222,False,False
ASTRAZEN.NS,loose,True,0.5119047619047619,0.1984126984126984,False,False
ASTRAL.NS,loose,True,0.8015873015873016,0.04365079365079365,True,False
ATUL.NS,loose,True,0.08333333333333333,0.015873015873015872,False,False
AUROPHARMA.NS,loose,True,0.2619047619047619,0.011904761904761904,False,False
AIIL.NS,loose,False,0.4444444444444444,0.8571428571428571,False,False
DMART.NS,loose,False,0.6388888888888888,0.48412698412698413,False,False
AXISBANK.NS,loose,True,0.1111111111111111,0.003968253968253968,False,False
BASF.NS,loose,True,0.03968253968253968,0.027777777777777776,False,False
BEML.NS,loose,True,0.0873015873015873,0.047619047619047616,False,False
BLS.NS,loose,True,0.003968253968253968,0.007936507936507936,False,False
BSE.NS,loose,True,0.4444444444444444,0.30158730158730157,False,False
BAJAJ-AUTO.NS,loose,True,0.7222222222222222,0.39285714285714285,True,True
BAJFINANCE.NS,loose,True,0.6547619047619048,0.2857142857142857,False,False
BAJAJFINSV.NS,loose,True,0.25396825396825395,0.003968253968253968,False,False
BAJAJHLDNG.NS,loose,True,0.7936507936507936,0.1626984126984127,False,False
BAJAJHFL.NS,loose,True,0.09292035398230089,0.004310344827586207,False,False
BALKRISIND.NS,loose,True,0.18253968253968253,0.16666666666666666,False,False
BALRAMCHIN.NS,loose,True,0.26587301587301587,0.2777777777777778,False,False
BANDHANBNK.NS,loose,True,0.3253968253968254,0.003968253968253968,False,False
BANKBARODA.NS,loose,True,0.2261904761904762,0.015873015873015872,False,False
BANKINDIA.NS,loose,True,0.03968253968253968,0.011904761904761904,False,False
MAHABANK.NS,loose,True,0.32936507936507936,0.015873015873015872,False,False
BATAINDIA.NS,loose,False,0.9880952380952381,0.6150793650793651,False,False
BAYERCROP.NS,loose,True,0.6031746031746031,0.007936507936507936,False,False
BERGEPAINT.NS,loose,True,0.01984126984126984,0.18253968253968253,False,False
BDL.NS,loose,True,0.23809523809523808,0.007936507936507936,False,False
BEL.NS,loose,True,0.05555555555555555,0.08333333333333333,False,False
BHARATFORG.NS,loose,True,0.32142857142857145,0.15873015873015872,True,False
BHEL.NS,loose,True,0.1349206349206349,0.027777777777777776,False,False
BPCL.NS,loose,True,0.007936507936507936,0.003968253968253968,False,False
BHARTIARTL.NS,loose,True,0.15079365079365079,0.031746031746031744,False,False
BHARTIHEXA.NS,loose,True,0.15873015873015872,0.04365079365079365,False,False
BIKAJI.NS,loose,False,0.5873015873015873,0.3968253968253968,False,False
BIOCON.NS,loose,True,0.03571428571428571,0.047619047619047616,False,False
